Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
15	0.1400	13.638205	-375.912445	1011.594055	69.889435	-370.140656	1013.401978	-11.164345	-353.800720	966.694092	42.721275	-348.487793	968.188293	38.126324	-287.613434	866.129272	170.969940	-765.454285	1343.140503	144.478577	-782.812683	1328.380371	198.470688	-714.602722	1343.865601	106.228394	-777.212280	1294.138672	162.452774	-709.573364	1308.948730
16	0.1500	13.651714	-375.908325	1011.615173	69.904221	-370.139313	1013.419495	-11.150521	-353.797394	966.717651	42.735641	-348.480957	968.210693	38.135887	-287.605713	866.142273	171.563156	-765.839844	1342.083374	145.114761	-783.089294	1327.084839	199.152542	-714.976746	1343.250610	106.985176	-777.177734	1292.768555	163.288956	-709.650513	1308.250000
17	0.1600	13.665130	-375.904175	1011.636108	69.918877	-370.137909	1013.436829	-11.136820	-353.794037	966.741028	42.749859	-348.474152	968.232849	38.145340	-287.598053	866.155029	172.127228	-766.170837	1341.072632	145.719940	-783.315369	1325.839600	199.813187	-715.293213	1342.666504	107.711365	-777.098145	1291.448364	164.107529	-709.673401	1307.580078
18	0.1700	13.678452	-375.899994	1011.656860	69.933411	-370.136444	1013.453979	-11.123241	-353.790619	966.764160	42.763935	-348.467316	968.254822	38.154686	-287.590454	866.167542	172.667816	-766.438049	1340.111572	146.297958	-783.480652	1324.651978	200.458496	-715.546143	1342.111084	108.408913	-776.965637	1290.186523	164.911377	-709.638062	1306.938477
19	0.1800	13.691678	-375.895782	1011.677368	69.947830	-370.134949	1013.471008	-11.109786	-353.787170	966.787048	42.777863	-348.460510	968.276550	38.163925	-287.582886	866.179871	173.190887	-766.632446	1339.203125	146.853043	-783.575195	1323.528442	201.094452	-715.729309	1341.582153	109.080162	-776.772522	1288.991089	165.703415	-709.540710	1306.324097
20	0.1900	13.704811	-375.891510	1011.697754	69.962120	-370.133362	1013.487854	-11.096453	-353.783691	966.809753	42.791649	-348.453674	968.298035	38.173054	-287.575348	866.192017	173.702530	-766.745117	1338.349365	147.389771	-783.589233	1322.475098	201.726959	-715.836548	1341.077393	109.727837	-776.511230	1287.869141	166.486633	-709.377380	1305.735962
21	0.2000	13.717850	-375.887238	1011.717957	69.976288	-370.131744	1013.504517	-11.083242	-353.780182	966.832214	42.805286	-348.446838	968.319275	38.182072	-287.567902	866.203979	174.208862	-766.767700	1337.552002	147.912903	-783.513733	1321.496704	202.361664	-715.861938	1340.594116	110.355034	-776.174805	1286.826660	167.263947	-709.144165	1305.172852
22	0.2100	13.730795	-375.882935	1011.737976	69.990341	-370.130066	1013.521057	-11.070154	-353.776642	966.854431	42.818783	-348.440002	968.340332	38.190983	-287.560455	866.215698	174.715805	-766.692444	1336.812134	148.427414	-783.340393	1320.596924	203.003906	-715.799866	1340.129883	110.965157	-775.756775	1285.868042	168.038193	-708.837341	1304.633545
23	0.2200	13.743645	-375.878571	1011.757813	70.004265	-370.128326	1013.537415	-11.057189	-353.773041	966.876404	42.832130	-348.433167	968.361145	38.199787	-287.553101	866.227234	175.229034	-766.512512	1336.129639	148.938263	-783.062073	1319.777710	203.658493	-715.644958	1339.682373	111.561874	-775.251587	1284.996582	168.812042	-708.453369	1304.116577
24	0.2300	13.756400	-375.874207	1011.777527	70.018074	-370.126526	1013.553589	-11.044347	-353.769440	966.898193	42.845337	-348.426331	968.381714	38.208481	-287.545746	866.238586	175.753815	-766.222168	1335.503906	149.450348	-782.672852	1319.039917	204.329651	-715.392700	1339.249146	112.149017	-774.654419	1284.213501	169.587967	-707.989075	1303.620361
