Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
1	0.0000	-36.905468	-339.051758	1011.304382	19.255440	-342.732269	1014.766418	-56.383877	-312.088104	966.580017	-2.542537	-315.676849	969.799744	6.176440	-252.451096	868.485474	239.326385	-421.312500	1227.572144	248.638107	-439.348969	1199.063599	204.089844	-379.375641	1247.482056	236.971985	-445.565002	1148.882568	193.665405	-383.876556	1198.591187
2	0.0100	-36.896946	-339.060364	1011.289490	19.264297	-342.742004	1014.749695	-56.375977	-312.094788	966.566711	-2.534676	-315.684143	969.784790	6.182357	-252.454773	868.473083	240.170883	-418.887360	1227.059326	249.363174	-437.089050	1198.659668	205.006027	-376.793457	1246.795288	237.504684	-443.605225	1148.627441	194.421112	-381.555450	1197.997559
3	0.0200	-36.888428	-339.068787	1011.274719	19.273149	-342.751587	1014.733093	-56.368084	-312.101379	966.553467	-2.526821	-315.691345	969.769958	6.188267	-252.458389	868.460754	240.969803	-416.569885	1226.562744	250.046417	-434.935303	1198.267456	205.874176	-374.325745	1246.131714	238.002472	-441.742981	1148.375854	195.130493	-379.347687	1197.425171
4	0.0300	-36.879917	-339.077118	1011.260010	19.281992	-342.761017	1014.716614	-56.360203	-312.107849	966.540283	-2.518973	-315.698395	969.755188	6.194170	-252.461945	868.448425	241.723053	-414.360107	1226.082153	250.687805	-432.887787	1197.887085	206.694244	-371.972595	1245.491577	238.465317	-439.978271	1148.127686	195.793488	-377.253326	1196.874023
5	0.0400	-36.871414	-339.085266	1011.245361	19.290825	-342.770294	1014.700195	-56.352325	-312.114197	966.527161	-2.511131	-315.705322	969.740479	6.200065	-252.465439	868.436157	242.430542	-412.258331	1225.617676	251.287231	-430.946716	1197.518433	207.466064	-369.734283	1244.874878	238.893158	-438.311188	1147.883057	196.410034	-375.272522	1196.343994
6	0.0500	-36.862915	-339.093292	1011.230835	19.299652	-342.779449	1014.683838	-56.344460	-312.120453	966.514099	-2.503296	-315.712128	969.725891	6.205954	-252.468857	868.423950	243.091980	-410.265137	1225.169678	251.844482	-429.112457	1197.161743	208.189285	-367.611420	1244.281860	239.285919	-436.742004	1147.641968	196.979950	-373.405640	1195.835327
7	0.0600	-36.854424	-339.101166	1011.216370	19.308470	-342.788452	1014.667603	-56.336597	-312.126556	966.501160	-2.495468	-315.718842	969.711304	6.211835	-252.472214	868.411743	243.706863	-408.381470	1224.738159	252.359222	-427.385773	1196.817017	208.863327	-365.605042	1243.712769	239.643448	-435.271057	1147.404297	197.502930	-371.653320	1195.348267
8	0.0700	-36.845940	-339.108887	1011.202026	19.317278	-342.797302	1014.651428	-56.328747	-312.132538	966.488220	-2.487647	-315.725433	969.696838	6.217709	-252.475510	868.399536	244.274429	-406.608856	1224.323608	252.830887	-425.767670	1196.484497	209.487244	-363.716766	1243.168213	239.965515	-433.898956	1147.170288	197.978500	-370.016541	1194.882813
9	0.0800	-36.837463	-339.116486	1011.187683	19.326080	-342.806030	1014.635315	-56.320900	-312.138397	966.475403	-2.479832	-315.731873	969.682434	6.223576	-252.478745	868.387390	244.793640	-404.949402	1223.926514	253.258759	-424.259644	1196.164551	210.059753	-361.948883	1242.648804	240.251801	-432.626465	1146.939697	198.406036	-368.496613	1194.439453
10	0.0900	-36.828991	-339.123932	1011.173523	19.334873	-342.814575	1014.619385	-56.313065	-312.144165	966.462646	-2.472024	-315.738220	969.668091	6.229435	-252.481903	868.375305	245.263107	-403.405762	1223.547363	253.641891	-422.863678	1195.857300	210.579117	-360.304474	1242.155518	240.501953	-431.454620	1146.712646	198.784653	-367.095337	1194.018555
11	0.1000	-36.820530	-339.131226	1011.159424	19.343658	-342.822998	1014.603455	-56.305237	-312.149780	966.449951	-2.464223	-315.744446	969.653809	6.235288	-252.485016	868.363220	245.681137	-401.981354	1223.186890	253.979156	-421.582031	1195.562988	211.043213	-358.787323	1241.689453	240.715515	-430.384583	1146.489014	199.113358	-365.814911	1193.620483
12	0.1100	-36.812073	-339.138397	1011.145386	19.352434	-342.831268	1014.587646	-56.297417	-312.155304	966.437317	-2.456428	-315.750549	969.639648	6.241133	-252.488052	868.351196	246.045776	-400.680145	1222.845703	254.269272	-420.417572	1195.281860	211.449524	-357.402130	1241.251587	240.892014	-429.417786	1146.268555	199.390930	-364.657898	1193.245728
13	0.1200	-36.803619	-339.145416	1011.131409	19.361202	-342.839386	1014.571899	-56.289600	-312.160706	966.424744	-2.448640	-315.756531	969.625488	6.246971	-252.491013	868.339172	246.354828	-399.506714	1222.524292	254.510834	-419.373291	1195.014038	211.795181	-356.154205	1240.843262	241.030960	-428.555664	1146.050903	199.616058	-363.627258	1192.894531
14	0.1300	-36.795177	-339.152283	1011.117554	19.369963	-342.847351	1014.556274	-56.281796	-312.165955	966.412231	-2.440858	-315.762390	969.611450	6.252802	-252.493927	868.327209	246.606033	-398.466064	1222.223145	254.702408	-418.452576	1194.759155	212.077133	-355.049500	1240.465576	241.131897	-427.799805	1145.835571	199.787369	-362.726105	1192.567505
15	0.1400	-36.786739	-339.158997	1011.103821	19.378716	-342.855194	1014.540771	-56.273998	-312.171112	966.399841	-2.433084	-315.768127	969.597473	6.258626	-252.496765	868.315247	246.797073	-397.563446	1221.942627	254.842621	-417.658844	1194.517090	212.292252	-354.094299	1240.119629	241.194427	-427.151642	1145.621826	199.903488	-361.957764	1192.264648
16	0.1500	-36.778309	-339.165588	1011.090088	19.387459	-342.862885	1014.525269	-56.266209	-312.176147	966.387451	-2.425316	-315.773743	969.583557	6.264442	-252.499557	868.303345	246.925827	-396.804230	1221.682495	254.930206	-416.995483	1194.286987	212.437485	-353.295166	1239.806274	241.218201	-426.612610	1145.408813	199.963181	-361.325439	1191.985962
17	0.1600	-36.769886	-339.172028	1011.076477	19.396194	-342.870422	1014.509888	-56.258427	-312.181061	966.375183	-2.417554	-315.779266	969.569702	6.270252	-252.502274	868.291504	246.990356	-396.193665	1221.442505	254.964096	-416.465729	1194.067871	212.510086	-352.658447	1239.526123	241.203064	-426.183868	1145.195435	199.965393	-360.832214	1191.731445
18	0.1700	-36.761471	-339.178314	1011.062988	19.404921	-342.877808	1014.494629	-56.250652	-312.185852	966.362976	-2.409800	-315.784637	969.555969	6.276054	-252.504913	868.279663	246.989182	-395.736572	1221.221924	254.943542	-416.072418	1193.858521	212.507782	-352.190186	1239.279419	241.149002	-425.866272	1144.980469	199.909439	-360.480713	1191.500366
19	0.1800	-36.753059	-339.184479	1011.049561	19.413639	-342.885040	1014.479431	-56.242886	-312.190521	966.350830	-2.402052	-315.789917	969.542236	6.281849	-252.507507	868.267822	246.921356	-395.437256	1221.019531	254.868210	-415.817902	1193.657349	212.428925	-351.895752	1239.065674	241.056213	-425.660217	1144.762451	199.794983	-360.273071	1191.292236
20	0.1900	-36.744656	-339.190460	1011.036194	19.422350	-342.892151	1014.464355	-56.235130	-312.195099	966.338745	-2.394310	-315.795044	969.528625	6.287637	-252.510025	868.256104	246.786514	-395.299103	1220.834106	254.738205	-415.703766	1193.462402	212.272644	-351.779541	1238.884644	240.925125	-425.565704	1144.540039	199.622208	-360.210632	1191.106201
21	0.2000	-36.736259	-339.196350	1011.022949	19.431053	-342.899109	1014.449341	-56.227379	-312.199524	966.326721	-2.386576	-315.800079	969.515076	6.293417	-252.512482	868.244324	246.585098	-395.324493	1220.663452	254.554123	-415.730835	1193.271362	212.039001	-351.844696	1238.734863	240.756409	-425.582031	1144.311646	199.391846	-360.293793	1190.940674
