Trajectories
100
		head:TopLeft			head:TopRight			head:BottomLeft			head:BottomRight			head:Whole			head:Brow			head:Tip			head:StickTopLeft			head:StickTopRight			head:StickBottomLeft			head:StickBottomRight			head:StickEnd			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
17	0	-34.932636	-340.900879	1007.692688	21.211084	-344.816132	1010.760193	-54.557785	-313.533020	963.470032	-0.757868	-317.264954	966.329895				7.422487	-253.147400	865.651062	186.439407	-397.872620	1228.840454	203.237213	-413.162323	1202.302002	141.655685	-363.251190	1242.113525	200.923584	-419.893921	1151.096558	140.229736	-367.967865	1192.061401			
18	0	-34.933628	-340.900116	1007.692810	21.209932	-344.815033	1010.760193	-54.558617	-313.531281	963.470520	-0.758707	-317.264313	966.329773				7.422093	-253.146973	865.650879	185.869873	-397.201080	1229.130859	202.718460	-412.523254	1202.649780	141.054703	-362.591919	1242.279907	200.491165	-419.312775	1151.470581	139.702499	-367.362000	1192.231812			
19	0	-34.934628	-340.899445	1007.692932	21.208775	-344.813995	1010.760071	-54.559460	-313.529480	963.471069	-0.759557	-317.263763	966.329590				7.421693	-253.146561	865.650818	185.295868	-396.561066	1229.411865	202.195801	-411.913239	1202.986450	140.448303	-361.963654	1242.439819	200.056610	-418.759277	1151.831787	139.173004	-366.786224	1192.395508			
20	0	-34.935638	-340.898712	1007.692932	21.207605	-344.812927	1010.760071	-54.560310	-313.527802	963.471558	-0.760417	-317.263153	966.329468				7.421286	-253.146179	865.650757	184.717896	-395.948212	1229.684448	201.669739	-411.329071	1203.313110	139.836655	-361.362000	1242.594238	199.620361	-418.232544	1152.180908	138.641541	-366.238586	1192.553101			
21	0	-34.936668	-340.898041	1007.693054	21.206425	-344.811951	1010.760071	-54.561180	-313.526062	963.472046	-0.761286	-317.262604	966.329346				7.420874	-253.145782	865.650696	184.136597	-395.359070	1229.949951	201.141006	-410.768188	1203.630981	139.220337	-360.783447	1242.743408	199.182816	-417.731628	1152.518555	138.108536	-365.717377	1192.704834			
22	0	-34.937698	-340.897339	1007.693054	21.205236	-344.810944	1010.759949	-54.562050	-313.524353	963.472595	-0.762166	-317.262054	966.329163				7.420455	-253.145432	865.650574	183.552841	-394.790924	1230.208984	200.610413	-410.228668	1203.940552	138.600143	-360.225250	1242.887085	198.744461	-417.256042	1152.844971	137.574615	-365.221283	1192.850830			
23	0	-34.938740	-340.896729	1007.693176	21.204039	-344.809906	1010.759949	-54.562939	-313.522705	963.473083	-0.763056	-317.261475	966.329041				7.420030	-253.145035	865.650513	182.967651	-394.242096	1230.461914	200.078766	-409.709290	1204.242310	137.977081	-359.685760	1243.026123	198.305786	-416.805237	1153.160645	137.040421	-364.749359	1192.991577			
24	0	-34.939800	-340.896027	1007.693176	21.202833	-344.808929	1010.759949	-54.563835	-313.520996	963.473572	-0.763956	-317.260986	966.328857				7.419598	-253.144684	865.650452	182.382034	-393.711975	1230.709473	199.547012	-409.209686	1204.536865	137.352417	-359.164246	1243.160767	197.867310	-416.379028	1153.465820	136.506744	-364.301086	1193.127563			
25	0	-34.940861	-340.895447	1007.693298	21.201616	-344.807983	1010.759827	-54.564739	-313.519348	963.474060	-0.764867	-317.260437	966.328735				7.419161	-253.144318	865.650391	181.797165	-393.200745	1230.951294	199.015991	-408.730194	1204.824341	136.727539	-358.660950	1243.290527	197.429535	-415.977417	1153.760742	135.974442	-363.876312	1193.258423			
26	0	-34.941940	-340.894806	1007.693298	21.200388	-344.807037	1010.759827	-54.565659	-313.517731	963.474487	-0.765787	-317.259949	966.328552				7.418718	-253.143967	865.650391	181.214172	-392.709625	1231.187866	198.486588	-408.271667	1205.104370	136.103897	-358.177002	1243.416138	196.993027	-415.600494	1154.045532	135.444366	-363.475281	1193.384521			
