Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
1	0.0000	65.838875	-361.382416	1017.207031	9.665505	-366.753143	1014.942505	39.380844	-340.899200	971.362610	-14.484826	-346.048584	969.115295	36.381519	-283.371582	866.399048	268.778351	-356.114197	1312.829102	234.128448	-354.916351	1315.745361	312.513611	-359.179108	1274.798218	191.172577	-354.444275	1287.479492	270.769867	-360.273224	1246.954712
2	0.0100	65.838882	-361.390594	1017.208130	9.665736	-366.762299	1014.942688	39.380749	-340.906128	971.363953	-14.484670	-346.055725	969.116882	36.381081	-283.375519	866.402161	268.717224	-356.145752	1312.806885	234.068024	-354.964691	1315.726440	312.428741	-359.177673	1274.768677	191.111359	-354.490234	1287.456055	270.675507	-360.270569	1246.921753
3	0.0200	65.838814	-361.398773	1017.209167	9.665892	-366.771423	1014.942871	39.380592	-340.913025	971.365356	-14.484575	-346.062836	969.118408	36.380615	-283.379425	866.405273	268.656586	-356.175049	1312.786499	234.008026	-355.009613	1315.709106	312.345856	-359.176056	1274.741211	191.050385	-354.533478	1287.434937	270.583740	-360.268005	1246.891235
4	0.0300	65.838676	-361.406891	1017.210266	9.665970	-366.780487	1014.942993	39.380371	-340.919922	971.366699	-14.484543	-346.069946	969.119934	36.380119	-283.383301	866.408325	268.596497	-356.202026	1312.767578	233.948456	-355.051147	1315.693359	312.264923	-359.174225	1274.715576	190.989655	-354.573944	1287.415894	270.494568	-360.265594	1246.863281
5	0.0400	65.838455	-361.414978	1017.211304	9.665973	-366.789551	1014.943115	39.380093	-340.926788	971.368042	-14.484572	-346.076996	969.121460	36.379597	-283.387177	866.411377	268.536957	-356.226715	1312.750366	233.889328	-355.089264	1315.679321	312.185974	-359.172180	1274.691895	190.929169	-354.611664	1287.399170	270.407990	-360.263306	1246.837769
6	0.0500	65.838165	-361.423065	1017.212402	9.665899	-366.798584	1014.943237	39.379749	-340.933624	971.369385	-14.484664	-346.084045	969.122925	36.379044	-283.391052	866.414429	268.477936	-356.249115	1312.734741	233.830658	-355.123993	1315.666870	312.108978	-359.169952	1274.670166	190.868927	-354.646667	1287.384766	270.324036	-360.261169	1246.814819
7	0.0600	65.837799	-361.431122	1017.213440	9.665750	-366.807587	1014.943359	39.379345	-340.940430	971.370667	-14.484818	-346.091064	969.124390	36.378464	-283.394897	866.417419	268.419495	-356.269287	1312.720703	233.772461	-355.155426	1315.656006	312.033966	-359.167542	1274.650269	190.808990	-354.678986	1287.372437	270.242706	-360.259155	1246.794434
8	0.0700	65.837349	-361.439148	1017.214539	9.665524	-366.816528	1014.943420	39.378880	-340.947235	971.372009	-14.485035	-346.098083	969.125793	36.377857	-283.398712	866.420410	268.361633	-356.287292	1312.708374	233.714752	-355.183563	1315.646851	311.960968	-359.164948	1274.632446	190.749359	-354.708679	1287.362305	270.164001	-360.257294	1246.776489
9	0.0800	65.836830	-361.447174	1017.215576	9.665222	-366.825470	1014.943542	39.378353	-340.954010	971.373291	-14.485313	-346.105042	969.127197	36.377220	-283.402527	866.423401	268.304382	-356.303192	1312.697510	233.657593	-355.208588	1315.639282	311.889984	-359.162262	1274.616455	190.690079	-354.735840	1287.354492	270.087982	-360.255615	1246.761108
10	0.0900	65.836235	-361.455139	1017.216675	9.664845	-366.834381	1014.943604	39.377762	-340.960754	971.374573	-14.485655	-346.112000	969.128601	36.376556	-283.406342	866.426392	268.247833	-356.317139	1312.688354	233.600998	-355.230652	1315.633301	311.821045	-359.159454	1274.602539	190.631210	-354.760590	1287.348755	270.014587	-360.254150	1246.748169
