Field	Time	TopLeft:X	TopLeft:Y	TopLeft:Z	TopRight:X	TopRight:Y	TopRight:Z	BottomLeft:X	BottomLeft:Y	BottomLeft:Z	BottomRight:X	BottomRight:Y	BottomRight:Z	Brow:X	Brow:Y	Brow:Z	Tip:X	Tip:Y	Tip:Z	StickTopLeft:X	StickTopLeft:Y	StickTopLeft:Z	StickTopRight:X	StickTopRight:Y	StickTopRight:Z	StickBottomLeft:X	StickBottomLeft:Y	StickBottomLeft:Z	StickBottomRight:X	StickBottomRight:Y	StickBottomRight:Z
1	0.0000	13.375588	-388.238190	1002.445190	69.462517	-381.675690	1004.328857	-12.259693	-364.456757	958.770752	41.443691	-358.168549	960.552429	34.984089	-292.737732	861.195068	267.332092	-468.752106	1208.409668	238.202240	-488.297211	1204.028931	296.952240	-423.759308	1187.301270	196.132584	-493.869080	1173.691162	256.638336	-430.157837	1156.692871
2	0.0100	13.336704	-388.234528	1002.438171	69.423546	-381.673279	1004.328308	-12.287518	-364.454010	958.759399	41.415722	-358.166626	960.547485	34.969112	-292.735901	861.189636	266.408081	-469.715576	1208.274048	237.240463	-489.134399	1203.771851	296.242798	-424.676941	1187.377563	195.378632	-494.281250	1173.375610	256.195343	-430.511688	1156.598755
3	0.0200	13.298012	-388.230896	1002.431152	69.384766	-381.670929	1004.327820	-12.315214	-364.451294	958.748047	41.387882	-358.164734	960.542542	34.954205	-292.734100	861.184204	265.601349	-470.518127	1208.130371	236.394089	-489.813934	1203.532104	295.637787	-425.456818	1187.402344	194.710754	-494.569153	1173.098022	255.827148	-430.784943	1156.476807
4	0.0300	13.259511	-388.227295	1002.424194	69.346184	-381.668579	1004.327271	-12.342784	-364.448639	958.736755	41.360168	-358.162842	960.537659	34.939362	-292.732300	861.178833	264.911926	-471.159698	1207.978516	235.663010	-490.335785	1203.309814	295.137177	-426.098999	1187.375610	194.128860	-494.732758	1172.858276	255.533691	-430.977692	1156.327026
5	0.0400	13.221202	-388.223724	1002.417236	69.307785	-381.666290	1004.326660	-12.370227	-364.445984	958.725525	41.332581	-358.161011	960.532715	34.924587	-292.730530	861.173462	264.339539	-471.640411	1207.818848	235.046967	-490.699921	1203.105103	294.740906	-426.603760	1187.297485	193.632736	-494.772186	1172.656860	255.314880	-431.090118	1156.149414
6	0.0500	13.183085	-388.220215	1002.410339	69.269585	-381.664001	1004.326111	-12.397543	-364.443359	958.714355	41.305126	-358.159180	960.527832	34.909878	-292.728790	861.168091	263.883728	-471.960327	1207.651611	234.545334	-490.906311	1202.918457	294.448944	-426.971832	1187.167969	193.221848	-494.687561	1172.493652	255.170456	-431.122681	1155.944336
7	0.0600	13.145160	-388.216736	1002.403442	69.231567	-381.661774	1004.325562	-12.424731	-364.440765	958.703186	41.277794	-358.157379	960.523010	34.895233	-292.727051	861.162781	263.543549	-472.119995	1207.477661	234.156952	-490.955078	1202.750732	294.261017	-427.204559	1186.987305	192.895248	-494.479218	1172.369141	255.099915	-431.076202	1155.711914
8	0.0700	13.107426	-388.213287	1002.396545	69.193748	-381.659576	1004.324951	-12.451793	-364.438232	958.692078	41.250595	-358.155640	960.518127	34.880657	-292.725342	861.157471	263.317535	-472.120300	1207.297852	233.879944	-490.846619	1202.603149	294.176575	-427.304230	1186.755493	192.651413	-494.147858	1172.283936	255.102432	-430.952026	1155.452393
9	0.0800	13.069884	-388.209869	1002.389648	69.156120	-381.657410	1004.324341	-12.478727	-364.435699	958.681030	41.223522	-358.153900	960.513306	34.866150	-292.723663	861.152161	263.203278	-471.963074	1207.113525	233.711533	-490.581970	1202.476807	294.194733	-427.274323	1186.472900	192.488113	-493.694702	1172.238403	255.176758	-430.752258	1155.166382
10	0.0900	13.032534	-388.206512	1002.382813	69.118683	-381.655273	1004.323792	-12.505535	-364.433197	958.669983	41.196575	-358.152191	960.508484	34.851707	-292.721985	861.146851	263.197571	-471.651215	1206.925903	233.647919	-490.163025	1202.373413	294.314026	-427.119934	1186.139771	192.402328	-493.121643	1172.233154	255.321091	-430.479736	1154.854492
